 #         t_pb[s]        <L_e>[B/s]       <L_ae>[B/s]        <L_x>[B/s]        <E_e>[MeV]       <E_ae>[MeV]        <E_x>[MeV]    L_e(pole)[B/s]   L_ae(pole)[B/s]    L_x(pole)[B/s]    E_e(pole)[MeV]   E_ae(pole)[MeV]    E_x(pole)[MeV]     L_e(equ)[B/s]    L_ae(equ)[B/s]     L_x(equ)[B/s]     E_e(equ)[MeV]    E_ae(equ)[MeV]     E_x(equ)[MeV]
  -1.958136447E-03   1.288123249E+00   3.054147546E-07   7.900858949E-08   9.074832342E+00   6.479409994E+00   4.683736935E+00   1.468567989E+00   3.641647728E-07   8.344370262E-08   9.141702875E+00   6.573109873E+00   4.531912657E+00   1.278810341E+00   3.117002409E-07   8.778311175E-08   8.817271987E+00   6.299751257E+00   4.874887746E+00
  -1.758107916E-03   1.315623479E+00   3.026436559E-07   8.932559456E-08   9.132446611E+00   6.447569644E+00   4.528241217E+00   1.504362744E+00   3.849389895E-07   9.009179227E-08   9.202865468E+00   6.592118223E+00   4.390516296E+00   1.368287792E+00   3.207609826E-07   9.687567488E-08   9.215308801E+00   6.490444822E+00   4.563972091E+00
  -1.558079384E-03   1.351843016E+00   3.012302986E-07   1.040338185E-07   9.188272680E+00   6.422757668E+00   4.354440614E+00   1.739495532E+00   3.388256058E-07   1.127704352E-07   9.417596544E+00   6.248667918E+00   4.298352196E+00   1.271734371E+00   3.237575770E-07   1.083088816E-07   8.944058049E+00   6.406046350E+00   4.397324028E+00
  -1.357932691E-03   1.379043873E+00   2.997234092E-07   1.255006525E-07   9.235094043E+00   6.387663727E+00   4.199373584E+00   1.505032079E+00   3.654802907E-07   1.462330583E-07   9.526128665E+00   6.124409613E+00   4.045268406E+00   1.232155664E+00   3.269558485E-07   1.248565264E-07   9.073100865E+00   6.528549219E+00   4.084161182E+00
  -1.157904160E-03   1.406622309E+00   2.990076816E-07   1.592468689E-07   9.271118049E+00   6.358966387E+00   4.111167933E+00   1.458017991E+00   3.346138489E-07   1.965107710E-07   9.195143070E+00   6.346502784E+00   3.912528690E+00   1.547283934E+00   3.092764817E-07   1.599628552E-07   9.290652679E+00   6.393998588E+00   4.270748773E+00
  -9.578756290E-04   1.426710515E+00   2.995164506E-07   2.191923331E-07   9.304858862E+00   6.297448267E+00   3.998346725E+00   1.468065848E+00   3.322834125E-07   2.703758654E-07   9.192450612E+00   6.304623755E+00   3.948732202E+00   1.482968622E+00   3.043861016E-07   2.603992106E-07   9.544704116E+00   6.301904486E+00   4.094041767E+00
  -5.577999982E-04   1.421915538E+00   3.076736397E-07   4.567585206E-07   9.352508411E+00   6.015150784E+00   3.851717656E+00   1.466833701E+00   3.343011843E-07   5.385200833E-07   9.054705735E+00   5.976719345E+00   3.843806259E+00   1.518421160E+00   3.353695968E-07   5.453829736E-07   9.276770757E+00   6.042107505E+00   3.919841236E+00
  -1.578000083E-04   1.396908499E+00   3.822903839E-07   1.228850131E-06   9.398215737E+00   5.197057022E+00   3.834076155E+00   1.426527783E+00   4.123138929E-07   1.599342151E-06   9.295896261E+00   5.112785274E+00   3.892840967E+00   1.419768169E+00   4.439790777E-07   1.214840312E-06   9.405566058E+00   5.282690140E+00   3.701233777E+00
   2.421999961E-04   1.354908300E+00   5.960686119E-07   4.126404977E-06   9.460741026E+00   4.624234288E+00   3.845967002E+00   1.632027391E+00   7.257348391E-07   4.896107492E-06   9.583402382E+00   4.398207228E+00   3.779969219E+00   1.296875821E+00   6.888406126E-07   4.454772349E-06   9.257831886E+00   4.670186103E+00   3.769560110E+00
   6.424000021E-04   1.292783240E+00   9.607532650E-07   2.082102623E-05   9.514382334E+00   4.393515501E+00   3.761328931E+00   1.336941013E+00   1.207234639E-06   2.658340359E-05   9.329835566E+00   4.346038959E+00   3.716873096E+00   1.311073192E+00   1.004045224E-06   2.312091313E-05   9.436198531E+00   4.439902665E+00   3.730710159E+00
